Date,Site,Total,Shannon Diversity Index,Species_Richness,Evenness,AvgHBTI,Percent Gathering Collectors,Percent Multiple,Percent Predators,Percent Filtering Collectors,Percent Scrapers,Percent Shredders,Percent Detritivore,AvgHBTI_Gathering Collectors,AvgHBTI_Multiple,AvgHBTI_Predators,AvgHBTI_Filtering Collectors,AvgHBTI_Scrapers,AvgHBTI_Shredders,AvgHBTI_Detritivore,Gathering Collectors_Count,Multiple_Count,Predators_Count,Filtering Collectors_Count,Scrapers_Count,Shredders_Count,Detritivore_Count,Time_Period,Li_Filtered,LiCen_Filtered,Na_Filtered,NaCen_Filtered,Mg_Filtered,MgCen_Filtered,Al_Filtered,AlCen_Filtered,K_Filtered,KCen_Filtered,Ca_Filtered,CaCen_Filtered,V_Filtered,VCen_Filtered,Cr_Filtered,CrCen_Filtered,Mn_Filtered,MnCen_Filtered,Fe_Filtered,FeCen_Filtered,Co_Filtered,CoCen_Filtered,Ni_Filtered,NiCen_Filtered,Cu_Filtered,CuCen_Filtered,Zn_Filtered,ZnCen_Filtered,As_Filtered,AsCen_Filtered,Se_Filtered,SeCen_Filtered,Sr_Filtered,SrCen_Filtered,Cd_Filtered,CdCen_Filtered,Ba_Filtered,BaCen_Filtered,Tl_Filtered,TlCen_Filtered,Pb_Filtered,PbCen_Filtered,U_Filtered,UCen_Filtered,Li_Total,LiCen_Total,Na_Total,NaCen_Total,Mg_Total,MgCen_Total,Al_Total,AlCen_Total,K_Total,KCen_Total,Ca_Total,CaCen_Total,V_Total,VCen_Total,Cr_Total,CrCen_Total,Mn_Total,MnCen_Total,Fe_Total,FeCen_Total,Co_Total,CoCen_Total,Ni_Total,NiCen_Total,Cu_Total,CuCen_Total,Zn_Total,ZnCen_Total,As_Total,AsCen_Total,Se_Total,SeCen_Total,Sr_Total,SrCen_Total,Cd_Total,CdCen_Total,Ba_Total,BaCen_Total,Tl_Total,TlCen_Total,Pb_Total,PbCen_Total,U_Total,UCen_Total,Type,TotalArea,BurnedPercent,BurnedStructures,ImperviousPercent,UnburnedWildlandPercent,BurnedWildlandPercent,BurnedUrbanPercent,UnburnedUrbanPercent,UnburnedPercent,BurnedAcres,UnburnedAcres,ImperviousAcres,UnburnedWildlandAcres,BurnedWildlandAcres,BurnedUrbanAcres,UnburnedUrbanAcres,Chl_A,Hardness,HardnessCen,Colr,Shp,PeakFFG,UnivoltinePercent,daysSincePrecip,Precip,Flow,Percent_Baetis,Percent_Baetidae,BurnedStructures_Per_Acre,BurnedStructures_Per_Urban_Acre,BurnedStructures_Per_Burned_Urban_Acre,BurnedStructures_Per_Total_Acres,Dominant_FFG_Number,Percent_Baet,Precip2Week,Temp,TempCen,pH,pHCen,Turbidity,TurbidityCen,Conductivity,ConductivityCen,TSS,TSSCen,Alkalinity,AlkalinityCen,NPOC,NPOCCen,TDN,TDNCen,Ammonia,AmmoniaCen,TDP,TDPCen,Nitr,NitrCen,TDON,TDONCen,Chloride,ChlorideCen,Sulfate,SulfateCen,Fluoride,FluorideCen,Nitrite,NitriteCen,Bromide,BromideCen,Nitrate,NitrateCen,Phosphate,PhosphateCen,Mn_Particulate,ChlAPerScrap
2022-01-06,Highway 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9526667014703,0,268083.60368261323,0,27148.091996312025,0,82.2078291679175,0,7203.9323383493,0,87732.83425291325,0,2,L,15,L,420.39982206037354,0,316.88343288661054,0,1,L,4,L,10,L,43.78738449923557,0,3,L,7,L,687.2635811199086,0,0.5,L,147.604546650297,0,0.8,L,1,L,5.756599207797025,0,Snowmelt,974,89,349,24,4,49,40,6.7,11,866.86,107.14,233.76,38.96,477.26,389.6,65.25800000000001,NA,NA,NA,#56b4e9,17,NA,NA,0,0.4575,NA,NA,NA,0.4026024963661952,0.767272423481614,0.8957905544147844,0.35831622176591377,NA,NA,0.7675000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-09,Greenbelt Plateau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,L,121659.621087678,0,49447.3790657982,0,75,L,2895.96895393174,0,155836.770565041,0,5,L,15,L,2.5,L,50,L,0.5,L,2.5,L,10,L,5,L,5,L,7.5,L,1033.74049232232,0,1,L,144.6938533475365,0,2.5,L,2.5,L,3.667241417276395,0,Snowmelt,13771,0,0,1.5,92,0,0,7.9,100,0,13771,206.565,12669.32,0,0,1087.909,NA,NA,NA,#999999,15,NA,NA,3,0,NA,NA,NA,NA,0,NA,0,NA,NA,0.7675000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-09,Highway 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2175784039637,0,388651.8869268595,0,23337.02948884965,0,79.929763002171,0,6825.762831923749,0,86027.6633682805,0,2,L,15,L,457.7160533474665,0,150,L,2,L,4,L,10,L,36.181089409460895,0,3,L,7,L,625.4699603935351,0,0.5,L,142.7472606854855,0,0.8,L,1,L,4.438408884893395,0,Snowmelt,974,89,349,24,4,49,40,6.7,11,866.86,107.14,233.76,38.96,477.26,389.6,65.25800000000001,NA,NA,NA,#56b4e9,17,NA,NA,3,0,NA,NA,NA,0.4026024963661952,0.767272423481614,0.8957905544147844,0.35831622176591377,NA,NA,0.7675000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-29,CTC Open Space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8381989696615,0,252500,G,43966.805098137105,0,93.637968042367,0,3776.488677317385,0,106034.22541762448,0,2,L,15,L,48.80143450583336,0,441.43545331497,0,2,L,4,L,10,L,31.136749575273,0,3,L,7,L,977.231105644835,0,0.5,L,185.4859148509935,0,0.8,L,1,L,13.0620504179891,0,Snowmelt,1433,16,415,28,24,4.4,11,59,84,229.28,1203.72,401.24000000000007,343.91999999999996,63.05200000000001,157.63,845.4699999999999,NA,NA,NA,#3172b2,18,NA,NA,1,0,NA,NA,NA,1.810013956734124,0.4137174758249427,2.6327475734314536,0.28960223307745986,NA,NA,0.576666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-29,Greenbelt Plateau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,17.00949535577176,0,129525.606770282,0,51585.3278165148,0,60,L,2944.487716702176,0,159123.5138422956,0,4,L,12,L,75.9387911941604,0,40,L,1.101641107187896,0,2,L,8,L,4,L,4,L,6,L,1038.83559716782,0,0.8,L,150.5196323777884,0,2,L,2,L,3.732589938950684,0,25,L,123171.8447807975,0,50101.20076954797,0,75,L,2842.5132052687472,0,156216.74485034225,0,5,L,15,L,72.9233458089845,0,243.33073964714575,0,1.0079576249092126,0,2.5,L,10,L,21.036907466793576,0,5,L,7.5,L,1092.9214828817974,0,1,L,158.16794353972324,0,2.5,L,2.5,L,3.66030985560338,0,Snowmelt,13771,0,0,1.5,92,0,0,7.9,100,0,13771,206.565,12669.32,0,0,1087.909,NA,609.75979401262,0,#999999,15,NA,NA,1,0,NA,NA,NA,NA,0,NA,0,NA,NA,0.576666667,3,0,7.86,0,1.73,0,1616.5,0,0.10438458856346186,0,90.5,0,2.096,0,95.07,0,1.5,0,1.9,0,NA,L,93.57,0,214.52473733058696,0,456.6944929035489,0,0.15444267987859064,0,NA,NA,0.3231040341737914,0,NA,NA,NA,NA,0,NA
2022-01-29,Highway 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.60390275087745,0,400006.535578353,0,26437.3464330516,0,231.26159229904397,0,9486.9624327729,0,98283.19346597847,0,2,L,15,L,460.406667094623,0,705.739042837141,0,1.62891885052202,0,4,L,10,L,62.5082961848005,0,3,L,7,L,863.54422637178,0,0.5,L,191.33352165564648,0,0.8,L,1.06740210966636,0,4.88345511868243,0,Snowmelt,974,89,349,24,4,49,40,6.7,11,866.86,107.14,233.76,38.96,477.26,389.6,65.25800000000001,NA,NA,NA,#56b4e9,17,NA,NA,1,0,NA,NA,NA,0.4026024963661952,0.767272423481614,0.8957905544147844,0.35831622176591377,NA,NA,0.576666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-07,CTC Open Space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.204595477765,0,343611.080778442,0,47997.46788085975,0,50,L,3658.96666385805,0,112755.855839197,0,2,L,15,L,42.4194949790421,0,243.43995701658253,0,2,L,4,L,10,L,23.392794980777,0,3,L,7,L,1053.442326817175,0,0.5,L,191.16012142823848,0,0.8,L,1,L,12.2612223025785,0,Snowmelt,1433,16,415,28,24,4.4,11,59,84,229.28,1203.72,401.24000000000007,343.91999999999996,63.05200000000001,157.63,845.4699999999999,NA,NA,NA,#3172b2,18,NA,NA,4,0,NA,NA,NA,1.810013956734124,0.4137174758249427,2.6327475734314536,0.28960223307745986,NA,NA,0.996666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-07,Greenbelt Plateau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,L,131196.3633716515,0,55318.054092119,0,75,L,3068.2972833080403,0,166602.234610985,0,5,L,15,L,74.609541822068,0,1212.75517636805,0,0.8591807219918001,0,2.5,L,10,L,13.838026730335049,0,5,L,7.5,L,1124.6992966789098,0,1,L,183.838391027293,0,2.5,L,2.5,L,3.192071757195935,0,Snowmelt,13771,0,0,1.5,92,0,0,7.9,100,0,13771,206.565,12669.32,0,0,1087.909,NA,NA,NA,#999999,15,NA,NA,4,0,NA,NA,NA,NA,0,NA,0,NA,NA,0.996666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-07,Highway 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.83103785846975,0,429331.2762360645,0,26173.87773947853,0,409.4978520406375,0,5411.885372843365,0,86947.5177713934,0,2,L,15,L,338.7394545620325,0,823.1782532925315,0,1,L,4,L,10,L,25.809982164124577,0,3,L,7,L,706.0806790936605,0,0.5,L,141.136251244254,0,0.8,L,1.012941364230505,0,4.620346320599283,0,Snowmelt,974,89,349,24,4,49,40,6.7,11,866.86,107.14,233.76,38.96,477.26,389.6,65.25800000000001,NA,NA,NA,#56b4e9,17,NA,NA,4,0,NA,NA,NA,0.4026024963661952,0.767272423481614,0.8957905544147844,0.35831622176591377,NA,NA,0.996666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-27,CTC Open Space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snowmelt Period,51.654465431545006,0,252500,G,49420.80771740241,0,110.2297004679715,0,3387.81970639589,0,122796.4555697475,0,2,L,15,L,66.7856758579985,0,250.66327749678,0,2,L,4,L,10,L,43.139502115099006,0,3,L,7,L,1136.67573762434,0,0.5,L,206.506434714891,0,0.8,L,NA,NA,12.20343292058515,0,62.9152020856995,0,356630.95383656246,0,56356.6996485295,0,103.5478167123715,0,3579.05749339024,0,131549.3445309425,0,2,L,15,L,81.0141559971715,0,374.9045937354205,0,2,L,4,L,10,L,21.94356460222025,0,3,L,7,L,1255.531931437265,0,0.5,L,232.8138130365875,0,0.8,L,1,L,13.169313125236853,0,Snowmelt,1433,16,415,28,24,4.4,11,59,84,229.28,1203.72,401.24000000000007,343.91999999999996,63.05200000000001,157.63,845.4699999999999,NA,510.13763573792266,0,#3172b2,18,NA,NA,3,0,NA,NA,NA,1.810013956734124,0.4137174758249427,2.6327475734314536,0.28960223307745986,NA,NA,0.723333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.228480139173,NA
